Event	ID	Name			Wwise Object Path	Notes
	1866025847	Footstep			\Default Work Unit\Footstep	

Switch Group	ID	Name			Wwise Object Path	Notes
	1866025847	Footstep			\Default Work Unit\Footstep	

Switch	ID	Name	Switch Group			Notes
	2058049674	Wood	Footstep			
	2185786256	Gravel	Footstep			
	2195636714	Dirt	Footstep			
	2473969246	Metal	Footstep			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	74441592	Footstep_Walking_Hardwood_03	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\WoodSolid\Footstep_Walking_Hardwood_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\WoodSolid\Footstep_Walking_Hardwood_03		24892
	87009026	FS_Dirt_03	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\Dirt\FS_Dirt_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Dirt\FS_Dirt_03		43432
	103564743	Footstep_Walking_Hardmetal_01	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_01		29880
	136853107	Footstep_Walking_Hardwood_01	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\WoodSolid\Footstep_Walking_Hardwood_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\WoodSolid\Footstep_Walking_Hardwood_01		22572
	175276784	AK_FS_Run_Gravel_02	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\Gravel\AK_FS_Run_Gravel_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Gravel\AK_FS_Run_Gravel_02		25634
	213876299	Footstep_Walking_Hardmetal_02	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_02		24148
	261350202	Footstep_Walking_Hardwood_04	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\WoodSolid\Footstep_Walking_Hardwood_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\WoodSolid\Footstep_Walking_Hardwood_04		21766
	317648712	Footstep_Walking_Hardwood_05	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\WoodSolid\Footstep_Walking_Hardwood_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\WoodSolid\Footstep_Walking_Hardwood_05		28428
	346449625	Footstep_Walking_Hardmetal_05	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_05		33764
	414487061	Footstep_Walking_Hardmetal_03	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_03		37608
	579989905	FS_Dirt_02	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\Dirt\FS_Dirt_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Dirt\FS_Dirt_02		42518
	616198941	Footstep_Walking_Hardwood_02	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\WoodSolid\Footstep_Walking_Hardwood_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\WoodSolid\Footstep_Walking_Hardwood_02		24892
	663194463	FS_Dirt_04	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\Dirt\FS_Dirt_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Dirt\FS_Dirt_04		40334
	814729179	AK_FS_Run_Gravel_03	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\Gravel\AK_FS_Run_Gravel_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Gravel\AK_FS_Run_Gravel_03		24506
	825172646	FS_Dirt_01	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\Dirt\FS_Dirt_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Dirt\FS_Dirt_01		35712
	906099798	AK_FS_Run_Gravel_01	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\Gravel\AK_FS_Run_Gravel_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Gravel\AK_FS_Run_Gravel_01		24616
	1004824509	Footstep_Walking_Hardmetal_04	C:\Users\MO\Documents\Hachiko-Engine\WwiseAkitaInteractive\.cache\Windows\SFX\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\MetalSheet\Footstep_Walking_Hardmetal_04		29612

